,Sr No.,Utterance,Emotion
1665,1743,"Okay.  Oh wait! Umm, did you send those contracts to Milan?",surprise
1666,1744,If this is your idea of sexy talk?,surprise
1672,1750,Tag!,anger
1673,1751,I’m serious!,anger
1674,1752,This isn’t funny!,anger
1675,1753,Those contracts absolutely had to go out today!,anger
1676,1754,"Rach, I’m sorry, but you didn’t give me any contracts!",surprise
1677,1755,Yes I did! And I put a little,anger
1679,1757,"Y’know what Tag, if we went down to the office you would see those contracts sitting on your desk.",anger
1680,1758,"No, I would see you looking embarrassed because they are",anger
1683,1761,"No! Come on its late, we’re not gonna go down to the office.",anger
1700,1778,What do you mean?,surprise
1701,1779,Forgive me? You haven't been taking my calls in a week!,anger
1702,1780,"Well, I'm totally over it Chandler. Friends forever! Don't come out here!",anger
1703,1781,"Uh, what was that?",surprise
1713,1792,"Well, she seems very nice and everything, but that whole thing about her coming all the way down here, just to see if I was okay?",anger
1720,1799,You talked to him. Are you crazy?,surprise
1722,1801,"Now, that's trash. Young lady, you can't…  Hey! Stop that young lady, she donated trash!",anger
1723,1802,Hey!!,anger
1728,1807,Whoa!,surprise
1729,1808,What is that?!,surprise
1730,1809,It's nine o'clock in the morning!,surprise
1734,1813,"Oh, you’re kidding me!",anger
1741,1820,What?! You’re crazy! There’s nothing sexual about the noises I make!,surprise
1742,1822,There’s nothing sexual about this?,anger
1744,1828,What are you looking at?!,anger
1749,1833,Really?!,surprise
1751,1835,Are you sure?,surprise
1757,1856,Ezel? Ezel? Ezel?,surprise
1759,1858,Really?!,surprise
1792,1891,Really? To what?,surprise
1793,1892,To Put the Camera Away!!!,anger
1795,1894,"Y'know, I can't believe I'm getting my nails done!  And",surprise
1797,1896,That’s a mailman! That’s,surprise
1808,1908,"Eh, do you believe that?",surprise
1810,1910,"Hey honey, you got the kind with the little girl, you said we were gonna to get the kind with the baby.",anger
1812,1912,"No, the little girl creeps me out.",anger
1814,1914,Why would the baby creep me out?,anger
1815,1915,Why would the little girl creep you out?,anger
1817,1917,This is going in your book?,surprise
1819,1919,What?! Excuse me!,surprise
1827,1928,"Yeah, all right. All right! Just keep walkin'! All right?",anger
1830,1931,What the? What,surprise
1840,1942,Really?,surprise
1844,1946,"Okay, that's it. I cannot make this decision! It is",anger
1846,1948,"Ooh, it's not a toy.",anger
1848,1950,"I mean, I either keep my wife and lose one of my-my-my best friends or I keep my friend and get divorced the second time before I'm 30!",anger
1849,1951,"So-so if anyone has-has a better suggestion, let's hear it!",anger
1850,1952,'Cause I-I got nothing!,anger
1851,1953,"All right, don't be shy, any suggestion will do.",anger
1856,1958,Later is not good enough.,anger
1858,1960,What the hell!,anger
1859,1961,This is broken!,anger
1860,1962,It-it is broken!,anger
1869,1971,"No-no, she kicked our butts. You could be on the Olympic standing-there team.",anger
1871,1973,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!",surprise
1872,1974,"What, now?",surprise
1875,1977,"You're like, like the anti-Paolo!",anger
1896,1998,I don’t get it!,surprise
1897,1999,It was in my room all night!,anger
1898,2000,"And if she didn’t take it, and I didn’t take it; and you  didn’t take it, then who did?",anger
1899,2001,Shh!,anger
1900,2002,We’re trying to think!,anger
1902,2004,What?!,surprise
1909,2011,"Oh yeah?  If I can’t, I’ll knock five bucks off the price off the unit.",anger
1911,2013,Okay.  See?! I told ya!,surprise
1912,2014,"Sometimes I get in here just to get away from it! Hey, a nickel!!",anger
1921,2023,I think I brought back half of the beach in my hair. It was so much easier when I used to shave my head.,anger
1923,2025,Really?!,surprise
1924,2026,Ohh!,surprise
1926,2028,Really?!,surprise
1935,2037,This woman's living my life.,anger
1936,2038,What?,surprise
1937,2039,"She's living my life, and she's doing it better than me!",anger
1938,2040,"Look at this, look.",anger
1939,2041,She buys tickets for plays that I wanna see.,anger
1940,2042,"She, she buys clothes from stores that I'm intimidated by the sales people.",anger
1941,2043,She spent three hundred dollars on art supplies.,anger
1943,2045,"Yeah, well I might be if I had the supplies! I mean, I could do all this stuff. Only I don't.",anger
1944,2046,I can't believe you would actually say that. I would much rather be Mr.Peanut than Mr.Salty.,surprise
1945,2047,"No way! Mr.Salty is a sailor, all right, he's got to be, like, thetoughest snack there is.",anger
1948,2050,I can't believe it! He's looking right at us!,surprise
1951,2053,"How can people do that?...  Oh, you guys, look! Ugly Naked Guy got gravity boots!",surprise
1956,2058,"Y'know, how did I get this reputation as a dropper? Okay? I'm",anger
1967,2082,What are you talking about alone? What about Ross?,surprise
1973,2088,Bob. Bob! Bob!!!  What the hell are you doing?!,surprise
1975,2090,"Chandler, we said we would meet at the coffeehouse at six.",anger
1976,2091,We said seven!,anger
1977,2092,We said six!,anger
1979,2094,"Yeah and if I had seven, maybe I would’ve said something like this, ""Wow! My boyfriend’s such a wise ass—seven!""",anger
1983,2099,What?!,surprise
1985,2101,"You, get out of my shop!",anger
1986,2102,"Well, what did he do?",surprise
1987,2103,He went out with my wife!,anger
1988,2104,Joey!,surprise
1989,2105,"Whoa-whoa-whoa-whoa, I-I—Hey! I did",anger
1990,2106,That’s my wife!!! Get out!,anger
2000,2116,"No, I’m afraid I won’t be able to make love as well as him.",anger
2006,2122,Yeah?,surprise
2035,2160,Ohhh!,surprise
2036,2161,Why are we in bed together?,surprise
2039,2164,Really?!,surprise
2053,2178,I know!,anger
2069,2195,I thought I was making him filet mignon?,surprise
2071,2197,"And then you realised if you  bitched about it, then you  would stop cooking, and you  would have to make your famous baked potato and Diet Coke.",anger
2072,2198,"Wow, I really get crabby when I cook.",surprise
2100,2226,So what are you saying.  I should run him under hot water and bang his head against a table?,surprise
2105,2231,"Monica, number one, I don’t think Ben understands the concept of bribery, and number two, I...   What?!",surprise
2112,2238,"Gunther, y'know what, I am a terrible waitress, do you know why I’m a terrible waitress?",anger
2115,2241,"I don’t care which pot is regular and which pot is decaf, I don’t care where the tray spot is, I just don’t care, this is not what I want to do.",anger
2118,2244,What?!,surprise
2120,2246,Does this mean we’re gonna have to start paying for coffee?,surprise
2125,2251,"Oh, I probably shouldn’t—so I will!  Oh! Wow! It’s like it’s raining!",surprise
2136,2263,"No-no-no-no-no,  I'm not fallin' for that again.",anger
2146,2273,Hey!,surprise
2147,2274,Hey!,surprise
2148,2276,"I did! But the store wouldn’t take her back! So then I took her to the shelter, and you know what I found out?",anger
2149,2277,"If they can’t find a home for her, they kill her! And I’m not gonna let that happen to little Yasmine!",anger
2161,2289,Really?! That's what you heard?  You said that?,surprise
2165,2297,Did you get all this stuff for Joey to try and drive me out of the apartment?,anger
2167,2299,Fish!,surprise
2180,2317,Ice coffee? Tell me it’s ice coffee!,surprise
2182,2319,Hot coffee!!!,surprise
2183,2320,You idiot!!,anger
2184,2321,"You were gonna spill hot coffee all over me, huh?!!",anger
2185,2322,"What are you just some big, dumb, stupid, doofy idiot, with a doofy idiot hairdo, huh?!",anger
2186,2323,Huh?,anger
2190,2328,Hey!,surprise
2200,2338,My God! What happened to you?,surprise
2202,2340,"""You are ideally suited for a career in data processing for a large multinational corporation.""",anger
2204,2342,"Can you believe it? I mean, don't I seem like somebody who should be doing something really",anger
2214,2352,No. This is just part of a dare devil game that I play called ‘wait until the last moment before I burst and die.’,anger
2215,2353,"Jeez, man did you fall.. Hi! So ah, did ya, did-did-did ya fall high?",surprise
2225,2363,"I’m going to keep dating him Mother, and there’s nothing you can do about it!",anger
2226,2364,Oh yes there is!,anger
2227,2365,What are you going to do? Kill him? Like you did with Charles?!,anger
2229,2369,That was a great scene! And-and-and that slap looks so real! How do you do that?,surprise
2235,2377,Oh that was a real person?!,surprise
2237,2379,I-I-I’m leaving the show?,surprise
2239,2381,Who told you that?,surprise
2241,2383,Which one? Was it bald or was it tall?,surprise
2249,2392,"Y’know, you look familiar. Do I know you from somewhere?",surprise
2252,2395,Wow!,surprise
2254,2397,Really?!,surprise
2258,2402,It's been fourteen and a half minutes and you still have not said one word.,anger
2259,2403,"Oh God, do something.",anger
2260,2404,"Just make contact, smile!",anger
2265,2409,"Okay! Feel free to look, but I’m telling you those contracts are not on this desk.",anger
2269,2413,So when do you imagine you gave them to me? In the morning or in the afternoon?,anger
2279,2423,"Oh-ho, and yes, the guy that enjoyed my name so much he felt the need to make a little noise every time he said it.",anger
2286,2430,"Sure, your dresser is missing but this she notices.",anger
2291,2435,"Oh, really?",surprise
2295,2439,What-what are-what are these?,surprise
2300,2444,That’s crazy.,surprise
2306,2450,I shared my puddin’ which you man!,anger
2316,2460,"I’ll bet your thinking, ‘What’s an intelligent girl who wants to be in fashion, doing making coffee?’ Eh?",surprise
2331,2475,"Wow, that was kinda brutal.",surprise
2335,2480,Wow.,surprise
2338,2483,Relieved?,surprise
2340,2486,"Oh my God! If you say that one more time,",anger
2341,2487,Fine!,anger
2342,2488,Fine!,anger
2343,2489,"But this break-up was not all my fault, and she, she says here,  “If you accept full responsibility...”  Full responsibility!",anger
2344,2490,“...I can begin to trust you again.,anger
2345,2491,Does that seem like something you can do.,anger
2346,2492,Does it?!,anger
2347,2494,No?,surprise
2357,2504,What the hell happened on that beach?!,surprise
2363,2510,"Whoa-whoa-whoa-whoa! Is this, hot Rachel, that you took to the Christmas party, Rachel?",surprise
2366,2513,"Oh, wait a second! I didn’t say I wasn’t free!",surprise
2375,2522,What are you doing? We're going to a hospital.,surprise
2377,2524,"Joey, get out of the fridge.",anger
2378,2525,"All right, all right.",anger
2379,2526,What is that?,surprise
2387,2534,"All right, I'm going. I'm going.",anger
2390,2537,WHAT IS IT?!,anger
2395,2542,Oh my God! Calling from Rome!,surprise
2402,2549,You know it?,surprise
2419,2566,Are you kidding?,surprise
2423,2570,Monkey into man?,anger
2425,2572,I’m Doctor Monkey!,anger
2430,2577,"You shouldn’t be arguing over who gets credit, you should be arguing over who gets blamed for inflicting this horrible joke upon the world!",anger
2431,2578,Now let it go!,anger
2432,2579,The joke sucks!,anger
2434,2581,Is not.,anger
2439,2586,"Ooh, you nailed the Old Lady!",surprise
2441,2588,"Did you, did you",anger
2443,2590,Give me your hands.  Strings. Gimme it!  Pick. Do you want to learn to play guitar?,anger
2445,2592,Then don't touch one!!,anger
2446,2593,Really? You'd-you'd do that for me?!,surprise
2458,2605,Wow! You’re a lot sturdier that Chandler. He crumpled like a piece of paper. So how was you’re trip?,surprise
2471,2618,What?! Oh.,surprise
2482,2629,Aww man! I can’t believe I locked myself out again!,anger
2483,2630,Hang on buddy!,anger
2484,2631,Oh my God! What happened here? Did you do all this?,surprise
2486,2633,"But we haven't seen each other since then. Well I land in China, guess who's in charge of the dig.",surprise
2499,2647,What?! Are you crazy?,surprise
2500,2648,Oh so-so you weren't trying to entice me just now with your-your nakedness?,surprise
2501,2649,"Oh God, you saw me?! Oh!",surprise
2503,2651,"Noo!! No! You thought, you actually thought I wanted to have sex with you?!",anger
2510,2662,What?!,surprise
2516,2668,Wow! Fortunately she has a,surprise
2517,2669,"Oh, I so can't believe this! My uterus is an inhospitable environment? I was trying so hard to be a good hostess!",surprise
2518,2670,"Oh, I can't believe my sperm have low motility because, let me tell you, when I was growing up they sure seem to be in a hurry to get places!",surprise
2526,2679,"Oh, DAMN IT!",anger
2531,2684,"Fine. Fine, alright, now you'll never know.",anger
2543,2696,"Ok.  Wow, you guys sure have a lot of books about bein' a lesbian.",surprise
2547,2700,"The uh, the baby that hasn't been born yet? Wouldn't that mean you're... crazy?",surprise
